Ciudad,Region,Location,,fecha,casos nuevos,
Arica,Arica y Parinacota,"Arica, Arica y Parinacota",,03/07/2020,0,
Arica,Arica y Parinacota,"Arica, Arica y Parinacota",,03/14/2020,1,
Arica,Arica y Parinacota,"Arica, Arica y Parinacota",,03/21/2020,3,
Arica,Arica y Parinacota,"Arica, Arica y Parinacota",,03/28/2020,23,
Arica,Arica y Parinacota,"Arica, Arica y Parinacota",,04/04/2020,58,
Arica,Arica y Parinacota,"Arica, Arica y Parinacota",,04/11/2020,30,
Camarones,Arica y Parinacota,"Camarones, Arica y Parinacota",,03/07/2020,0,
Camarones,Arica y Parinacota,"Camarones, Arica y Parinacota",,03/14/2020,0,
Camarones,Arica y Parinacota,"Camarones, Arica y Parinacota",,03/21/2020,0,
Camarones,Arica y Parinacota,"Camarones, Arica y Parinacota",,03/28/2020,0,
Camarones,Arica y Parinacota,"Camarones, Arica y Parinacota",,04/04/2020,0,
Camarones,Arica y Parinacota,"Camarones, Arica y Parinacota",,04/11/2020,0,
General Lagos,Arica y Parinacota,"General Lagos, Arica y Parinacota",,03/07/2020,0,
General Lagos,Arica y Parinacota,"General Lagos, Arica y Parinacota",,03/14/2020,0,
General Lagos,Arica y Parinacota,"General Lagos, Arica y Parinacota",,03/21/2020,0,
General Lagos,Arica y Parinacota,"General Lagos, Arica y Parinacota",,03/28/2020,0,
General Lagos,Arica y Parinacota,"General Lagos, Arica y Parinacota",,04/04/2020,0,
General Lagos,Arica y Parinacota,"General Lagos, Arica y Parinacota",,04/11/2020,0,
Putre,Arica y Parinacota,"Putre, Arica y Parinacota",,03/07/2020,0,
Putre,Arica y Parinacota,"Putre, Arica y Parinacota",,03/14/2020,0,
Putre,Arica y Parinacota,"Putre, Arica y Parinacota",,03/21/2020,0,
Putre,Arica y Parinacota,"Putre, Arica y Parinacota",,03/28/2020,0,
Putre,Arica y Parinacota,"Putre, Arica y Parinacota",,04/04/2020,0,
Putre,Arica y Parinacota,"Putre, Arica y Parinacota",,04/11/2020,0,
Alto Hospicio,Tarapacá,"Alto Hospicio, Tarapacá",,03/07/2020,0,
Alto Hospicio,Tarapacá,"Alto Hospicio, Tarapacá",,03/14/2020,0,
Alto Hospicio,Tarapacá,"Alto Hospicio, Tarapacá",,03/21/2020,2,
Alto Hospicio,Tarapacá,"Alto Hospicio, Tarapacá",,03/28/2020,4,
Alto Hospicio,Tarapacá,"Alto Hospicio, Tarapacá",,04/04/2020,4,
Alto Hospicio,Tarapacá,"Alto Hospicio, Tarapacá",,04/11/2020,4,
Camiña,Tarapacá,"Camiña, Tarapacá",,03/07/2020,0,
Camiña,Tarapacá,"Camiña, Tarapacá",,03/14/2020,0,
Camiña,Tarapacá,"Camiña, Tarapacá",,03/21/2020,0,
Camiña,Tarapacá,"Camiña, Tarapacá",,03/28/2020,0,
Camiña,Tarapacá,"Camiña, Tarapacá",,04/04/2020,0,
Camiña,Tarapacá,"Camiña, Tarapacá",,04/11/2020,0,
Colchane,Tarapacá,"Colchane, Tarapacá",,03/07/2020,0,
Colchane,Tarapacá,"Colchane, Tarapacá",,03/14/2020,0,
Colchane,Tarapacá,"Colchane, Tarapacá",,03/21/2020,0,
Colchane,Tarapacá,"Colchane, Tarapacá",,03/28/2020,0,
Colchane,Tarapacá,"Colchane, Tarapacá",,04/04/2020,0,
Colchane,Tarapacá,"Colchane, Tarapacá",,04/11/2020,0,
Huara,Tarapacá,"Huara, Tarapacá",,03/07/2020,0,
Huara,Tarapacá,"Huara, Tarapacá",,03/14/2020,0,
Huara,Tarapacá,"Huara, Tarapacá",,03/21/2020,0,
Huara,Tarapacá,"Huara, Tarapacá",,03/28/2020,0,
Huara,Tarapacá,"Huara, Tarapacá",,04/04/2020,0,
Huara,Tarapacá,"Huara, Tarapacá",,04/11/2020,0,
Iquique,Tarapacá,"Iquique, Tarapacá",,03/07/2020,0,
Iquique,Tarapacá,"Iquique, Tarapacá",,03/14/2020,0,
Iquique,Tarapacá,"Iquique, Tarapacá",,03/21/2020,9,
Iquique,Tarapacá,"Iquique, Tarapacá",,03/28/2020,6,
Iquique,Tarapacá,"Iquique, Tarapacá",,04/04/2020,10,
Iquique,Tarapacá,"Iquique, Tarapacá",,04/11/2020,1,
Pica,Tarapacá,"Pica, Tarapacá",,03/07/2020,0,
Pica,Tarapacá,"Pica, Tarapacá",,03/14/2020,0,
Pica,Tarapacá,"Pica, Tarapacá",,03/21/2020,0,
Pica,Tarapacá,"Pica, Tarapacá",,03/28/2020,1,
Pica,Tarapacá,"Pica, Tarapacá",,04/04/2020,2,
Pica,Tarapacá,"Pica, Tarapacá",,04/11/2020,7,
Pozo Almonte,Tarapacá,"Pozo Almonte, Tarapacá",,03/07/2020,0,
Pozo Almonte,Tarapacá,"Pozo Almonte, Tarapacá",,03/14/2020,0,
Pozo Almonte,Tarapacá,"Pozo Almonte, Tarapacá",,03/21/2020,0,
Pozo Almonte,Tarapacá,"Pozo Almonte, Tarapacá",,03/28/2020,0,
Pozo Almonte,Tarapacá,"Pozo Almonte, Tarapacá",,04/04/2020,2,
Pozo Almonte,Tarapacá,"Pozo Almonte, Tarapacá",,04/11/2020,0,
Antofagasta,Antofagasta,"Antofagasta, Antofagasta",,03/07/2020,1,
Antofagasta,Antofagasta,"Antofagasta, Antofagasta",,03/14/2020,2,
Antofagasta,Antofagasta,"Antofagasta, Antofagasta",,03/21/2020,25,
Antofagasta,Antofagasta,"Antofagasta, Antofagasta",,03/28/2020,28,
Antofagasta,Antofagasta,"Antofagasta, Antofagasta",,04/04/2020,27,
Antofagasta,Antofagasta,"Antofagasta, Antofagasta",,04/11/2020,23,
Calama,Antofagasta,"Calama, Antofagasta",,03/07/2020,0,
Calama,Antofagasta,"Calama, Antofagasta",,03/14/2020,2,
Calama,Antofagasta,"Calama, Antofagasta",,03/21/2020,3,
Calama,Antofagasta,"Calama, Antofagasta",,03/28/2020,2,
Calama,Antofagasta,"Calama, Antofagasta",,04/04/2020,6,
